task,model,method,batch_size,wall_time_s,throughput_per_s,throughput_unit,atom_throughput_per_s,atom_throughput_unit,speedup_vs_mps32,peak_allocated_GB,peak_reserved_GB,peak_device_GB,device_memory_fraction_vs_mps32,model_evaluations,neighbor_rebuilds,model_time_s,neighbor_time_s,converged,finite,status
static_evaluation,atombit,tensor,128,0.9439635681919754,271.196906984801,structures_per_second,43662.702024552964,atoms_completed_per_second,1.2978799502321274,28.873711104,31.968985088,31.968985088,0.6576358930112165,2,2,0.46559340667724614,0.3814847831726074,,256,passed_without_reference
static_evaluation,atombit,mps32,1,1.2251513889059424,208.95376874902576,systems_per_second,33641.556768593146,atoms_completed_per_second,1.0,,,48.61198336,1.0,448,448,,,,256,complete
fixed_horizon_nve,atombit,tensor,32,89.21745915710926,358.6741911540987,replica_steps_per_second,57746.54477580989,atom_steps_per_second,1.277907503352615,7.251313664,13.251903488,13.251903488,0.33561716592309326,1001,908,59.87915266227724,7.725784795045861,,32,passed_without_reference
fixed_horizon_nve,atombit,mps32,1,114.0116604869254,280.6730457510501,replica_steps_per_second,45188.36036591906,atom_steps_per_second,1.0,,,39.485177856,1.0,32000,32000,,,,32,complete
variable_horizon_optimization,atombit,active_drain,64,108.90150112099946,2.3507481289496712,systems_per_second,648.8064835901092,atoms_completed_per_second,1.4111243527439552,26.02579968,45.929725952,45.929725952,0.6798174819965235,740,212,,,256,,passed
variable_horizon_optimization,atombit,active_refill,64,112.68209881195799,2.271878166089261,systems_per_second,627.038373840636,atoms_completed_per_second,1.3637797121498718,28.221827072,83.944800256,83.944800256,1.242488204618823,416,310,,,256,,passed
variable_horizon_optimization,atombit,mps32,1,153.67356028221548,1.665868868593049,systems_per_second,459.7798077316815,atoms_completed_per_second,1.0,,,67.561848832,1.0,20896,20896,,,256,,complete
static_evaluation,mace,tensor,128,1.7895008558407426,143.05665133628906,structures_per_second,23032.12086514254,atoms_completed_per_second,1.8736691352778325,31.320820736,34.040971264,34.040971264,0.7258417922461209,2,2,1.3209291687011717,0.3714073867797852,,256,passed_without_reference
static_evaluation,mace,mps32,1,3.3529325211420655,76.35107428669697,systems_per_second,12292.522960158212,atoms_completed_per_second,1.0,,,46.898610176,1.0,224,224,,,,256,complete
fixed_horizon_nve,mace,tensor,32,83.10210848785937,385.0684487106001,replica_steps_per_second,61996.020242406616,atom_steps_per_second,1.091163547820724,7.905721344,10.1711872,10.1711872,0.24837404619245146,1001,901,54.05279232788094,6.359465305030348,,32,passed_without_reference
fixed_horizon_nve,mace,mps32,1,90.67799152899534,352.897097304671,replica_steps_per_second,56816.43266605203,atom_steps_per_second,1.0,,,40.951087104,1.0,32000,32000,,,,32,complete
variable_horizon_optimization,mace,active_drain,64,175.6347412103787,1.4575704000005227,systems_per_second,402.2894304001443,atoms_completed_per_second,0.9769184164854632,27.300757504,29.211230208,29.211230208,0.6018796586367073,1166,0,,,256,,passed
variable_horizon_optimization,mace,active_refill,64,180.81629898492247,1.4158015700860396,systems_per_second,390.76123334374694,atoms_completed_per_second,0.9489233781816578,27.496177152,32.702988288,32.702988288,0.6738252133520579,567,0,,,256,,passed
variable_horizon_optimization,mace,mps32,1,171.5808132630773,1.492008314516417,systems_per_second,411.794294806531,atoms_completed_per_second,1.0,,,48.53334016,1.0,25504,25504,,,256,,complete
