optimizer,atom_count,batch_mode,ase_converged,selected_batch_size,wall_seconds_R256,systems_per_second,speedup_vs_ase,peak_allocated_GB,peak_reserved_GB
fire,46,active,64,256,86.96909108804539,2.943574513626132,17.960988204091773,18.52392704,46.762295296
fire,92,active,64,128,215.0446021365933,1.1904507132775757,8.67131642915997,19.977208832,50.281316352
fire,184,,63,,,,,,
fire,276,active,64,64,100.91065556090325,2.5368976009227757,6.309836840926432,25.434971136,62.922948608
bfgs,46,refill,64,256,82.50074855191633,3.1030021483853996,12.119514681623462,18.591043584,46.7664896
bfgs,92,active,64,128,174.9471941785887,1.4632986896530127,7.602037131996109,20.064272896,50.281316352
bfgs,184,active,64,64,316.63426001695916,0.8085037923132148,5.793220592387676,19.4443264,61.735960576
bfgs,276,active,64,64,284.84791794605553,0.8987251928886532,9.83123095188499,25.797906944,64.254640128
bfgslinesearch,46,active,64,256,142.65161112183705,1.7945819047311946,16.99870466181558,18.59313664,46.802141184
bfgslinesearch,92,active,64,64,363.29019308509305,0.7046708247916766,11.600434716807651,10.14558208,32.166117376
bfgslinesearch,184,active,64,32,1037.8454388873652,0.24666486011100835,6.648332177791899,9.830331392,24.456986624
bfgslinesearch,276,active,64,64,659.4927565460093,0.3881771216726627,11.402855647879493,25.800957952,64.250445824
