model,mode,decision,optimization_seconds,end_to_end_seconds,systems_per_second,end_to_end_systems_per_second,speedup_vs_mps_optimization,speedup_vs_mps_end_to_end,peak_allocated_bytes,peak_reserved_bytes,converged,optimizer_steps_total,model_evaluations,neighbor_rebuilds
atombit,fifo_B64,fifo,92.69569389941171,93.04515386465937,2.0712936267389925,2.0635142404007127,1.3215638438732737,1.3166003005207174,17586903552,65164804096,192,15410,954,452
atombit,fifo_B128,fifo,84.55347457807511,84.9027733434923,2.270752337004327,2.2614102277109724,1.4488260612766382,1.4428654414455195,23734796800,43211816960,192,15475,714,361
atombit,fifo_B192,fifo,76.15664736600593,76.50442159827799,2.5211193853801803,2.5096588666232287,1.608569728016792,1.6012574826520132,41195160064,83418415104,192,15409,423,230
atombit,refill_B128,fifo_active_refill,81.21040569711477,81.55940002715215,2.364229046165464,2.3541124620347964,1.5084677448490962,1.50201298071619,32367742976,83680559104,192,15814,456,265
atombit,bucketed_B64,cost_buckets_fixed_capacity,102.42822139011696,102.78040626319125,1.8744833932899434,1.8680603334875217,1.195991455066181,1.191893299453507,24746617344,83240157184,192,15421,1292,491
atombit,planned_B192,cost_buckets_planned_capacity,94.34311476489529,94.68978364299983,2.0351246667917144,2.027673869483955,1.298486676483888,1.293732785387595,25757400064,83961577472,192,15419,1137,479
atombit,auto_B192,whole_batch_predicted_to_fit,75.0101685137488,75.35705935070291,2.559652961782213,2.547870121980935,1.633155610332391,1.6256377119241214,41195160064,83418415104,192,15409,423,230
mace,fifo_B64,fifo,75.06692315079272,75.2113283216022,2.5577177262789204,2.5528069279538808,1.0641304043925417,1.0620872822161485,16399779328,25830621184,192,14127,653,0
mace,fifo_B128,fifo,69.82413891004398,69.96839735191315,2.7497653819599255,2.7440960100074396,1.1440312266774877,1.1416725023325507,26609496064,32853983232,192,14033,481,0
mace,fifo_B192,fifo,64.6967006828636,64.84127129986882,2.967693838688371,2.9610770447739267,1.2346996747256886,1.2319467784574192,42925465088,52657389568,192,14110,272,0
mace,refill_B128,fifo_active_refill,63.81103347800672,63.955250546336174,3.0088840367422542,3.0020990983514984,1.2518367268959671,1.2490138746479054,33046394368,81560338432,192,14040,272,0
mace,bucketed_B64,cost_buckets_fixed_capacity,79.23512774892151,79.37911532912403,2.4231676713945016,2.4187722325188927,1.008151277828213,1.0063225693276117,24866136576,29406265344,192,13984,884,0
mace,planned_B192,cost_buckets_planned_capacity,71.68895098101348,71.83329596696422,2.678236985931771,2.672855218676028,1.114272062791281,1.1120329954746027,31581665792,37429968896,192,14180,599,0
mace,auto_B192,whole_batch_predicted_to_fit,64.46177533082664,64.60616855183616,2.978509341615706,2.971852445420139,1.239199430654783,1.2364298499587563,42925465088,52657389568,192,14110,272,0
