batch,cell_rmsd_A,convergence_match,distribution,energy_error_eV_per_atom,force_error_eV_per_A,memory_gate_fraction,method,model,neighbor_fraction,neighbor_rebuilds,neighbor_time_s,observed_backend,peak_allocated_GB,peak_reserved_GB,pool,position_rmsd_A,requested_backend,source,speedup_vs_ase,speedup_vs_matscipy,status,step_difference,task,throughput_per_s,validation_passed,velocity_rmsd_A_per_fs,wall_time_s,workload
1,,,H276,,,,ase_b1,AtomBit,0.0,,0.0,,0.539405312,1.002438656,256,,ase,runs/direct_backend_frontier/eval/atombit_h276_r256.json,1.0,,passed,,eval,38.525823523304716,True,,6.644893647637218,EVAL-H276-R256-v1
16,,,H276,2.073205010951231e-07,9.000301361083984e-06,0.13697688222189675,native_batch,AtomBit,0.6816975127617161,16,2.1879579772949223,matscipy,6.206090752,11.645485056,256,,matscipy,runs/direct_backend_frontier/eval/atombit_h276_r256.json,2.070335682479989,1.0,passed,,eval,79.76138713722467,True,,3.2095730677247047,EVAL-H276-R256-v1
32,,,H276,1.7967777470060525e-07,8.046627044677734e-06,0.16065738049904799,native_batch,AtomBit,0.6980534685412504,8,2.215408538818359,matscipy,12.18284288,13.658750976,256,,matscipy,runs/direct_backend_frontier/eval/atombit_h276_r256.json,2.0937407153332233,1.0,passed,,eval,80.66308530248553,True,,3.173694621771574,EVAL-H276-R256-v1
16,,,H276,2.211418679995615e-07,7.867813110351562e-06,0.1320927794522343,native_batch,AtomBit,0.2185392101286947,16,0.27322921705245967,cuda_dense,6.205623296,11.23024896,256,,auto,runs/direct_backend_frontier/eval/atombit_h276_r256.json,5.314840868079653,2.567139673559205,passed,,eval,204.75862133808434,True,,1.2502526063472033,EVAL-H276-R256-v1
32,,,H276,1.934991366621377e-07,8.881092071533203e-06,0.16097805391321773,native_batch,AtomBit,0.15678616354107242,8,0.1698441925048828,cuda_dense,12.18307072,13.686013952,256,,auto,runs/direct_backend_frontier/eval/atombit_h276_r256.json,6.134018283383642,2.9296933657840247,passed,,eval,236.31810587436271,True,,1.0832855952903628,EVAL-H276-R256-v1
1,,,H276,,,,ase_b1,AtomBit,0.0,,0.0,,0.539405312,1.002438656,32,,ase,runs/direct_backend_frontier/eval/atombit_h276_r32.json,1.0,,passed,,eval,39.275097938849115,True,,0.8147656321525574,EVAL-H276-R32-v1
16,,,H276,1.5203502935828114e-07,5.245208740234375e-06,0.13697688222189675,native_batch,AtomBit,0.6799443695651541,2,0.27614799880981444,matscipy,6.2049664,11.645485056,32,,matscipy,runs/direct_backend_frontier/eval/atombit_h276_r32.json,2.006153607793719,1.0,passed,,eval,78.79187942647381,True,,0.4061332237906754,EVAL-H276-R32-v1
32,,,H276,2.4878460592752666e-07,5.066394805908203e-06,0.16065738049904799,native_batch,AtomBit,0.6976477238527713,1,0.27945379638671874,matscipy,12.171500032,13.658750976,32,,matscipy,runs/direct_backend_frontier/eval/atombit_h276_r32.json,2.0340370969879245,1.0,passed,,eval,79.88700619545307,True,,0.4005657681263983,EVAL-H276-R32-v1
16,,,H276,1.7967777717205827e-07,4.5299530029296875e-06,0.1320927794522343,native_batch,AtomBit,0.4118006860323875,2,0.08688889837265015,cuda_dense,6.204102656,11.23024896,32,,auto,runs/direct_backend_frontier/eval/atombit_h276_r32.json,3.8614949960240987,1.9248251883716938,passed,,eval,151.66059415922223,True,,0.21099745901301503,EVAL-H276-R32-v1
32,,,H276,1.5203503182973413e-07,6.020069122314453e-06,0.16097805391321773,native_batch,AtomBit,0.1599617513008653,1,0.02174835205078125,cuda_dense,12.172193792,13.686013952,32,,auto,runs/direct_backend_frontier/eval/atombit_h276_r32.json,5.992699452103907,2.9462095165216566,passed,,eval,235.36385789946837,True,,0.13595970207825303,EVAL-H276-R32-v1
