model,workload,method,wall_time_s,systems_per_second,peak_allocated_GiB,peak_reserved_or_device_GiB,model_evaluations,graph_evaluations,neighbor_rebuilds,converged
atombit,H46-R256,active,80.9528635670431,3.1623340882560296,4.336429595947266,7.935546875,1076,30348,540,256
atombit,H46-R256,repack,71.17475313413888,3.596781003476497,4.547354698181152,23.04296875,670,30372,530,256
atombit,H46-R256,slots,66.8795239017345,3.8277784449563153,4.542516708374023,23.04296875,663,30380,527,256
atombit,H46-R256,mps32,72.85380778787658,3.5138863399614966,,31.640625,30280,,,256
atombit,H276-STEPVAR-R256,active,105.32544257026166,2.430561825830684,24.238414764404297,42.775390625,740,18720,212,256
atombit,H276-STEPVAR-R256,repack,102.77211613301188,2.4909480278548934,26.283626079559326,78.1796875,416,18864,310,256
atombit,H276-STEPVAR-R256,slots,99.6732098669745,2.568393255737041,26.25328826904297,78.22265625,416,18738,313,256
atombit,H276-STEPVAR-R256,mps32,153.67356028221548,1.665868868593049,,62.921875,20896,,,256
mace,H46-R256,active,85.98781327717006,2.9771660685778656,4.26680326461792,5.423828125,1052,37408,0,256
mace,H46-R256,repack,80.88918536901474,3.1648235648824183,4.302709579467773,5.423828125,731,37408,0,256
mace,H46-R256,slots,78.09751211013645,3.277953331457958,4.302480220794678,5.423828125,731,37408,0,256
mace,H46-R256,mps32,81.42130290577188,3.144140303137453,,31.640625,37376,,,256
mace,H276-STEPVAR-R256,active,168.03505338123068,1.5234916456341894,25.425811767578125,27.205078125,1166,23199,0,256
mace,H276-STEPVAR-R256,repack,170.5910440837033,1.500664946246471,25.60781192779541,30.45703125,567,25158,0,256
mace,H276-STEPVAR-R256,slots,172.02548404596746,1.4881516039309237,25.612855434417725,30.45703125,591,25174,0,256
mace,H276-STEPVAR-R256,mps32,171.5808132630773,1.492008314516417,,45.2001953125,25504,,,256
