model,optimizer,batch_size,mode,wall_time_s,speedup_vs_immediate,graph_evaluations,frozen_graph_evaluations,refill_events,tail_compaction_events,peak_allocated_GiB,peak_reserved_GiB,converged_jobs,convergence_flags_match,max_converged_step_difference,max_endpoint_energy_difference_meV_per_atom
atombit,bfgs,64,immediate,66.65952222142369,1.0,30380,0,176,0,4.542518138885498,23.044921875,256,True,0,0.0
atombit,bfgs,64,tail75,67.41074305400252,0.9888560665771472,30995,615,133,11,4.650919437408447,23.04296875,256,True,2,0.03810550855553669
atombit,bfgs,64,tail50,70.05915217520669,0.9514748630517098,31942,1561,127,5,4.809548377990723,29.259765625,256,True,2,0.03804331240446671
atombit,bfgs,128,immediate,64.007615508046,1.0,30379,0,123,0,9.051275730133057,78.154296875,256,True,0,0.0
atombit,bfgs,128,tail75,60.65197140304372,1.0553262165660438,31812,1437,54,14,9.316993713378906,78.154296875,256,True,3,0.05798754484757133
atombit,bfgs,128,tail50,62.744186520110816,1.0201361920204388,33990,3617,47,7,9.801556587219238,78.154296875,256,True,3,0.05763509999150815
atombit,fire,64,immediate,101.5358243281953,1.0,46798,0,181,0,4.324646949768066,7.935546875,256,True,0,0.0
atombit,fire,64,tail75,101.35889343405142,1.0017455882572257,48514,1654,137,11,4.324646949768066,7.935546875,256,True,45,0.18832994543987772
atombit,fire,64,tail50,103.7899915240705,0.9782814589077944,50907,4100,132,6,4.324646949768066,7.9296875,256,True,26,0.1882159191629161
atombit,fire,128,immediate,91.03826163383201,1.0,46779,0,122,0,8.573685646057129,15.3046875,256,True,0,0.0
atombit,fire,128,tail75,97.45014244876802,0.9342034741682712,50038,3298,52,12,8.573685646057129,15.3046875,256,True,30,0.1882159191629161
atombit,fire,128,tail50,99.22206713119522,0.917520308395286,54524,7725,47,7,8.573685646057129,15.298828125,256,True,49,0.18897263900093408
mace,bfgs,64,immediate,79.65255384985358,1.0,37408,0,185,0,4.302481651306152,5.423828125,256,True,0,0.0
mace,bfgs,64,tail75,81.07740918919444,0.9824259882797197,38018,610,140,11,4.423750877380371,5.423828125,256,True,0,1.5817299161268318e-10
mace,bfgs,64,tail50,81.85910816024989,0.9730444863132799,39342,1934,135,6,4.528404235839844,5.423828125,256,True,0,1.5817299161268318e-10
mace,bfgs,128,immediate,74.41063209995627,1.0,37408,0,120,0,8.531838417053223,10.74609375,256,True,0,0.0
mace,bfgs,128,tail75,78.33715798007324,0.949876584990283,38783,1375,53,13,8.720494747161865,10.74609375,256,True,0,5.4569682106375694e-08
mace,bfgs,128,tail50,79.91657147929072,0.9311039090214069,41090,3682,46,6,8.9718656539917,10.74609375,256,True,0,5.4569682106375694e-08
mace,fire,64,immediate,108.50320679601282,1.0,49120,0,195,0,4.255582332611084,4.6484375,256,True,0,0.0
mace,fire,64,tail75,111.32990341121331,0.9746097272288141,50934,1814,151,12,4.255582332611084,4.6484375,256,True,0,7.908649580634159e-10
mace,fire,64,tail50,113.4071218362078,0.9567583149912081,55087,5967,145,6,4.256707668304443,4.6484375,256,True,0,6.326919664507327e-10
mace,fire,128,immediate,99.14010872505605,1.0,49120,0,117,0,8.43727445602417,9.1953125,256,True,0,0.0
mace,fire,128,tail75,104.24593823496252,0.9510213098336905,53868,4748,49,12,8.43727445602417,9.1953125,256,True,0,9.49037949676099e-10
mace,fire,128,tail50,116.53640641318634,0.8507222058448349,61446,12326,43,6,8.43727445602417,9.1953125,256,True,0,9.49037949676099e-10
