family,batch_size,mode,seconds,systems_per_second,speedup_over_active,speedup_over_fifo,model_evaluations,graph_evaluations,mean_active_occupancy,peak_allocated_GiB,peak_reserved_GiB,refill_events,slot_events,repack_events,arena_events,complete_compatible_matches,refill_phase_seconds,neighbor_phase_seconds,all_jobs_converged,max_energy_difference_meV_per_atom,max_position_component_difference_A,max_cell_component_difference_A,max_step_difference,convergence_mismatches,endpoint_gate_pass
ROFA-MIX,32,active,44.52869143499993,5.7491022473384845,1.0,,573,13439,1.0,10.686307907104492,12.044921875,0,0,0,0,0,0,2.1354040670134116,True,0.0,0.0,0.0,0,0,True
ROFA-MIX,32,compatible_slots,43.157414193003206,5.931773364714316,1.031773850858262,1.006054479696601,463,13439,0.9070599352051836,10.590069770812988,11.92578125,61,26,35,0,26,0.45963804745674125,2.629756000796334,True,0.0010052242794552364,0.0037488937377929688,0.0005235671997070312,0,0,True
ROFA-MIX,32,fifo_slots,43.41870988099254,5.896075694134557,1.0255645908653153,1.0,463,13439,0.9070599352051836,10.590069770812988,11.92578125,61,26,35,0,0,0.4620717103481292,2.6507828809432685,True,0.0010052242794552364,0.0037488937377929688,0.0005235671997070312,0,0,True
ROFA-MIX,32,threshold_arena,44.203379382001,5.79141241188088,1.0073594385213767,0.9822486535649813,518,13442,0.8109314671814671,10.639100551605225,11.984375,43,0,0,43,0,0.38920080101490007,2.3120377682112143,True,0.04817344046927787,0.0344696044921875,0.00275421142578125,3,0,True
ROFA-MIX,64,active,39.137031256002956,6.541119542906922,1.0,,357,13439,1.0,20.904017448425293,23.56640625,0,0,0,0,0,0,1.4823112612254923,True,0.0,0.0,0.0,0,0,True
ROFA-MIX,64,compatible_slots,37.40583976999915,6.843851162655126,1.0462813158760385,0.9895456444128359,259,13445,0.8111124517374517,20.686981678009033,23.298828125,29,0,29,0,0,0.48307174301147443,1.6671815007403488,True,0.04662694157780828,0.02313995361328125,0.0021343231201171875,4,0,True
ROFA-MIX,64,fifo_slots,37.01478582000709,6.91615510744433,1.0573350727008328,1.0,259,13445,0.8111124517374517,20.686981678009033,23.298828125,29,0,29,0,0,0.4567986257076263,1.6134632269721472,True,0.04662694157780828,0.02313995361328125,0.0021343231201171875,4,0,True
ROFA-MIX,64,threshold_arena,37.07165728000109,6.905545065504891,1.055713019798445,0.9984659045705874,265,13438,0.7923349056603773,19.267083168029785,21.728515625,24,0,0,24,0,0.32062998688220967,1.4982233280763035,True,0.013699402680268159,0.005153656005859375,0.0005054473876953125,1,0,True
ROFA-MIX,128,active,36.509171704004984,7.011936673762372,1.0,,248,13439,0.27393353174603174,36.583008766174316,40.923828125,0,0,0,0,0,0,1.2118474218919877,True,0.0,0.0,0.0,0,0,True
ROFA-MIX,128,compatible_slots,35.61391037100111,7.188202512253468,1.025137967824304,0.9963682600518506,189,13429,0.5551008597883598,36.45911645889282,41.09765625,17,0,17,0,0,0.376596218585968,1.2904793231971565,True,0.12429984840186867,0.06594371795654297,0.0051441192626953125,8,0,True
