optimizer,model,atoms,batch_size,method,wall_time_s,systems_per_second,peak_allocated_GiB,peak_reserved_or_device_GiB,model_evaluations,graph_evaluations,neighbor_rebuilds,converged
bfgs,atombit,46,,mps32,72.85380778787658,3.5138863399614966,,31.640625,30280,,,256
bfgs,atombit,276,,mps32,132.3680642945692,1.9340012363579089,,52.7490234375,18664,,,256
bfgs,atombit,46,32,active,108.45878889085725,2.3603435241897675,2.1972928047180176,2.494140625,2136,30400,1072,256
bfgs,atombit,46,32,repack,84.81371146300808,3.0183798773109425,2.3129968643188477,2.611328125,1129,30387,928,256
bfgs,atombit,46,32,slots,81.65929389838129,3.134976899488897,2.3104357719421387,2.611328125,1129,30350,926,256
bfgs,atombit,46,64,active,79.26626964984462,3.2296208857925213,4.329769134521484,4.875,1076,30348,540,256
bfgs,atombit,46,64,repack,69.21982368687168,3.698362497397596,4.538438320159912,5.111328125,670,30372,530,256
bfgs,atombit,46,64,slots,66.61329964594916,3.8430764030703246,4.533363342285156,5.111328125,663,30380,527,256
bfgs,atombit,46,128,active,60.547751523088664,4.228067823499268,8.594736099243164,9.291015625,548,30400,292,256
bfgs,atombit,46,128,repack,60.97728794440627,4.1982844536050585,9.048144817352295,9.798828125,422,30376,314,256
bfgs,atombit,46,128,slots,62.85116106690839,4.0731148900729846,9.03754186630249,10.072265625,421,30379,316,256
bfgs,atombit,276,32,active,127.17392221326008,2.0129913078461894,11.568797588348389,12.998046875,1480,18624,584,256
bfgs,atombit,276,32,repack,103.28612450277433,2.478551705104626,12.268980979919434,13.78125,657,18614,528,256
bfgs,atombit,276,32,slots,100.91968866530806,2.536670528671597,12.25537633895874,13.76171875,657,18649,525,256
bfgs,atombit,276,64,active,102.94199720490724,2.486837315682044,23.072793006896973,24.900390625,740,18732,300,256
bfgs,atombit,276,64,repack,97.5938324262388,2.623116580583965,24.365426063537598,27.30859375,398,18643,314,256
bfgs,atombit,276,64,slots,94.38451805897057,2.712309235292737,24.338103771209717,27.26953125,398,18644,314,256
bfgs,atombit,276,128,active,92.66237184870988,2.7627179716268424,46.0807843208313,49.814453125,370,18664,148,256
bfgs,atombit,276,128,repack,93.30310312798247,2.743745828569588,48.63380241394043,54.52734375,268,18738,192,256
bfgs,atombit,276,128,slots,92.54349274281412,2.766266891519264,48.57949924468994,54.48828125,268,18701,192,256
bfgs,mace,46,,mps32,81.42130290577188,3.144140303137453,,31.640625,37376,,,256
bfgs,mace,276,,mps32,152.25850064493716,1.681351116132329,,52.7490234375,23488,,,256
bfgs,mace,46,32,active,119.508195893839,2.1421124976851695,2.165591239929199,2.482421875,2104,37408,0,256
bfgs,mace,46,32,repack,92.88843993330374,2.7559941816636657,2.185490608215332,2.50390625,1295,37408,0,256
bfgs,mace,46,32,slots,90.35276525467634,2.833338849988881,2.185373306274414,2.50390625,1295,37408,0,256
bfgs,mace,46,64,active,86.29587043495849,2.966538244642287,4.261478424072266,4.88671875,1052,37408,0,256
bfgs,mace,46,64,repack,80.1038227812387,3.1958524713499483,4.298323154449463,4.92578125,731,37408,0,256
bfgs,mace,46,64,slots,78.65119464602321,3.254877451666832,4.298094272613525,4.92578125,731,37408,0,256
bfgs,mace,46,128,active,74.76701090531424,3.423969968843628,8.453282833099365,9.662109375,526,37408,0,256
bfgs,mace,46,128,repack,74.04501916700974,3.457356117669277,8.529603481292725,9.763671875,450,37408,0,256
bfgs,mace,46,128,slots,74.11931176576763,3.4538906784376655,8.529149055480957,9.76171875,450,37408,0,256
bfgs,mace,276,32,active,187.8317847577855,1.3629216180324293,12.690874576568604,14.453125,2115,23249,0,256
bfgs,mace,276,32,repack,158.00353714218363,1.620216892800518,12.778265476226807,14.666015625,877,23080,0,256
bfgs,mace,276,32,slots,157.54633964085951,1.6249187418988857,12.780471801757812,14.6484375,878,23063,0,256
bfgs,mace,276,64,active,154.0091477748938,1.6622389234578474,25.31204319000244,28.73046875,1050,21682,0,256
bfgs,mace,276,64,repack,147.96699798991904,1.7301155222290936,25.416191577911377,29.19921875,518,22650,0,256
