workload,case,method,batch_size,linear_algebra_backend,wall_seconds,systems_per_second,speedup_vs_dual_active,peak_allocated_GiB,peak_reserved_GiB,peak_reserved_fraction,allocation_retries,inactive_split_peak_GiB,model_evaluations,graph_evaluations,optimizer_steps_total,converged_jobs
H46,dual_H46_active_B64,active,64,auto,78.66615183791146,3.2542585854139405,1.0,4.329769134521484,4.875,0.061569295520593245,0,0.0,1076,30348,30092,256
H46,dual_H46_refill_B64,refill,64,auto,67.91716189170256,3.7692976689486124,1.158266182608583,4.533364772796631,5.111328125,0.06455402499094252,0,0.0,663,30380,30124,256
STEPVAR-H276,dual_active_B64,active,64,auto,105.70115357311442,2.4219224799937735,1.0,24.225341796875,27.1875,0.3433672250186931,0,0.0,740,18720,18464,256
STEPVAR-H276,dual_refill_B64,refill,64,auto,101.54576846212149,2.521030702480654,1.0409213025212662,26.252980709075928,29.4765625,0.3722771666653819,0,0.0,416,18738,18482,256
STEPVAR-H276,deprecated_alias_B64,refill,64,auto,101.05114874709398,2.533370507649593,1.0460163479947988,26.252980709075928,29.4765625,0.3722771666653819,0,0.0,416,18738,18482,256
STEPVAR-H276,allocator_gc80_B64,refill,64,auto,103.34433912904933,2.477155518700688,1.0228054527604271,26.253289699554443,78.22265625,0.9879207874999036,10,8.530707359313965,416,18738,18482,256
STEPVAR-H276,native_gc80_B64,refill,64,auto,102.95695919077843,2.486475921706604,1.0266538017818787,26.253289699554443,78.3359375,0.9893514842708149,10,8.530707359313965,416,18738,18482,256
STEPVAR-H276,auto_B48,refill,48,auto,106.6814218107611,2.399668055175629,0.9908112563461562,19.66705083847046,78.1015625,0.9863914219861709,4,7.163937091827393,515,18829,18573,256
STEPVAR-H276,auto_B32,refill,32,auto,109.25383804691955,2.3431671104319434,0.9674822913563969,13.137349128723145,78.15625,0.9870821031859212,2,4.2689619064331055,708,18791,18535,256
STEPVAR-H276,serial_B64,refill,64,serial,252.5448499438353,1.0136813324719673,0.41854408671022925,26.256608963012695,78.22265625,0.9879207874999036,9,8.470927238464355,416,18815,18559,256
