family,split,batch_size,pool_size,pool_to_resident_ratio,resident_atoms,mean_atom_count,atom_count_cv,mean_edge_count,edge_count_cv,mean_edges_per_atom,homogeneous_atom_count,unique_structure_count,refill_storage,active_wall_seconds,refill_wall_seconds,refill_speedup,active_systems_per_second,refill_systems_per_second,active_atoms_per_second,refill_atoms_per_second,active_mean_occupancy,refill_mean_occupancy,active_model_evaluations,refill_model_evaluations,active_graph_evaluations,refill_graph_evaluations,active_peak_reserved_GiB,refill_peak_reserved_GiB,refill_peak_reserved_fraction,active_converged,refill_converged,endpoint_max_energy_difference_meV_per_atom,endpoint_energy_outliers_above_5_meV_per_atom,endpoint_convergence_mismatches,endpoint_gate_passed,memory_gate_passed,training_eligible,predicted_mode,measured_speed_mode,speed_prediction_correct,selected_refill_scientifically_valid
GUFJOG44,fit,32,256,8.0,1408.0,44.0,0.0,2093.0625,0.2484442060231808,47.56960227272727,True,256,slots,129.2793939327821,92.1386623387225,1.4030960581728646,1.980207303053303,2.7784210612792086,87.12912133434533,122.25052669628518,0.43172442244224424,0.9073379025239339,2424,1149,33488,33361,3.744140625,3.8828125,0.049038365182267375,256,256,17.50483296134255,4,0,False,True,False,refill,refill,True,False
GUFJOG44,fit,64,256,4.0,2816.0,44.0,0.0,2093.0625,0.2484442060231808,47.56960227272727,True,256,slots,105.87972343480214,81.40948077570647,1.3005822224381252,2.4178378229108035,3.1445968892162908,106.38486420807536,138.3622631255168,0.36393728222996513,0.7401432107496464,1435,707,33424,33490,6.595703125,7.0859375,0.08949254973906742,256,256,3.486600789156827,0,0,True,True,False,refill,refill,True,True
GUFJOG44,fit,128,256,2.0,5632.0,44.0,0.0,2093.0625,0.2484442060231808,47.56960227272727,True,256,slots,84.22738280333579,72.46651738509536,1.1622937853594073,3.0393916025829695,3.532665970955755,133.73323051365065,155.43730272205323,0.33652067245817247,0.566440365720524,777,458,33469,33207,11.951171875,12.791015625,0.16154539918444116,256,256,12.312813238664107,2,0,False,True,False,refill,refill,True,False
XATMOV88,fit,32,256,8.0,2816.0,88.0,0.0,5030.578125,0.279351746082919,57.16566051136363,True,256,slots,42.50654291501269,30.100819399114698,1.4121390634390125,6.022602226481809,8.504751867569734,529.9889959303993,748.4181643461366,0.34342105263157896,0.8532475490196079,760,306,8352,8355,8.4296875,8.4296875,0.10646357350435916,256,256,0.06410208615389737,0,0,True,True,True,refill,refill,True,True
XATMOV88,fit,64,256,4.0,5632.0,88.0,0.0,5030.578125,0.279351746082919,57.16566051136363,True,256,slots,33.75089974794537,27.259370245970786,1.2381393789878214,7.58498297561932,9.391266111066503,667.4785018545001,826.4314177738523,0.29869851258581237,0.6463490099009901,437,202,8354,8356,15.658203125,15.15234375,0.19136802670222852,256,256,0.01617453315041282,0,0,True,True,True,refill,refill,True,True
XATMOV88,fit,128,256,2.0,11264.0,88.0,0.0,5030.578125,0.279351746082919,57.16566051136363,True,256,slots,28.105769915040582,26.428701063152403,1.0634563480013928,9.108450000617262,9.686438973609716,801.5436000543191,852.406629677655,0.265307418699187,0.4266748366013072,246,153,8354,8356,27.81640625,26.896484375,0.3396918143485936,256,256,0.021354718641801315,0,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,32,256,8.0,5504.0,172.0,0.0,7305.109375,0.20757852962001455,42.47156613372093,True,256,slots,111.15225368738174,89.89285039529204,1.2364971540962852,2.303147183322129,2.847834937642688,396.1413155314062,489.82760927454234,0.4047427652733119,0.8114945302445302,1555,777,20140,20177,11.9453125,11.716796875,0.14797844704648994,256,256,0.9361976800962936,0,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,64,256,4.0,11008.0,172.0,0.0,7305.109375,0.20757852962001455,42.47156613372093,True,256,slots,92.52629045955837,81.34529464691877,1.1374510457079414,2.766781189740803,3.1470781575157387,475.8863646354181,541.2974430927071,0.358203125,0.6648866033755274,880,474,20174,20170,21.947265625,21.94921875,0.2772098329569018,256,256,0.1418091530023619,0,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,128,256,2.0,22016.0,172.0,0.0,7305.109375,0.20757852962001455,42.47156613372093,True,256,slots,80.94624029984698,77.97481440007687,1.0381075084645175,3.1625928400343994,3.283111373455833,543.9659684859167,564.6951562344033,0.3370081638115632,0.47496234939759036,467,332,20145,20184,40.232421875,39.041015625,0.49307237506455864,256,256,0.5945272223893986,0,0,True,True,True,active,active,True,True
OBEQIX220,fit,32,256,8.0,7040.0,220.0,0.0,8950.421875,0.17558105568180074,40.683735795454545,True,256,slots,116.66766700986773,102.49162417370826,1.1383141593320167,2.1942668998287895,2.497765081428679,482.7387179623337,549.5083179143094,0.5278253424657534,0.8434274193548387,1241,775,20961,20917,14.09375,14.25390625,0.1800211212777602,256,256,3.5428220575506035,0,0,True,True,True,refill,refill,True,True
OBEQIX220,fit,64,256,4.0,14080.0,220.0,0.0,8950.421875,0.17558105568180074,40.683735795454545,True,256,slots,99.17847885331139,95.78480162890628,1.035430226577626,2.581205146114747,2.672657829284927,567.8651321452444,587.984722442684,0.4835197855029586,0.6984842414529915,676,468,20919,20921,26.484375,26.564453125,0.3354983927786814,256,256,0.060324235395951706,0,0,True,True,True,active,active,True,True
OBEQIX220,fit,128,256,2.0,28160.0,220.0,0.0,8950.421875,0.17558105568180074,40.683735795454545,True,256,slots,91.45579678099602,92.62797526828945,0.9873453081113097,2.7991664717877707,2.7637438825421445,615.8166237933095,608.0236541592718,0.4528220221606648,0.5289239482200647,361,309,20924,20920,48.193359375,48.015625,0.6064180933807148,256,256,0.11819492686878551,0,0,True,True,True,active,active,True,True
ROFB296,fit,32,256,8.0,9472.0,296.0,0.0,11975.515625,0.11906529623076181,40.457823057432435,True,256,slots,334.32593384804204,284.89819221990183,1.1734926474717287,0.7657198382831923,0.8985666002485673,226.65307213182493,265.9757136735759,0.3911792159303049,0.8587372448979592,3214,1470,40232,40395,17.296875,17.49609375,0.22096864954866757,254,253,25.06089854884792,1,1,False,True,False,refill,refill,True,False
ROFB296,fit,64,256,4.0,18944.0,296.0,0.0,11975.515625,0.11906529623076181,40.457823057432435,True,256,slots,297.1398281790316,272.8089551022276,1.0891864897458614,0.8615472438307927,0.9383856182582828,255.01798417391464,277.76214300445173,0.3330605158730159,0.6529758817427386,1890,964,40287,40286,33.3125,33.46875,0.4226968942471498,254,253,24.998626193484746,3,1,False,True,False,active,refill,False,True
ROFB296,fit,128,256,2.0,37888.0,296.0,0.0,11975.515625,0.11906529623076181,40.457823057432435,True,256,slots,272.9116848949343,260.2680951799266,1.0485790995867819,0.9380323898500537,0.9836011587322064,277.6575873956159,291.1459429847331,0.3155797779441118,0.47998046875,1002,656,40475,40303,63.056640625,62.7421875,0.7924086735991737,254,253,11.10190958590121,2,1,False,True,False,active,active,True,True
