workload_id,manifest_sha256,system_id,group_id,duplicate_group,order,dataset_id,source_path,source_sha256,normalized_structure_sha256,frame_index,atom_count,species,chemical_formula,pbc,cell_A,volume_A3,constraints,topology_edge_counts,arrival_time,random_seed,reference
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0000,AXOSOW_C4_61_1106_z1_8,2c92e253f4d5a553068fa933c82592a39edb52e87cd07c644abb963d9d9657a7,0,cross_family_test_set,AXOSOW/structures/AXOSOW_C4_61_1106_z1_8.cif,3b8c1ebbddad241bec16f857d0bbb5faa1aaad446608b4bdd80b5b2c50f6ab02,2c92e253f4d5a553068fa933c82592a39edb52e87cd07c644abb963d9d9657a7,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[10.484406327705905, 0.0, 0.0, 0.0, 16.012025546084814, 0.0, 0.0, 0.0, 13.906040060830847]",2334.4984739382508,[],"{""cutoff=6.000_skin=0.000"": 1160, ""cutoff=6.000_skin=0.500"": 1784}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0001,AXOSOW_C4_61_240_z1_8,d8d5b4948ecc3d37ebeb2c19d88f6d2b9fec39a61e2d9f222bea3a4692a7d19e,1,cross_family_test_set,AXOSOW/structures/AXOSOW_C4_61_240_z1_8.cif,8a31f628f8c6053f8d3b270e4e8ac0e7e40419f719405b63d5aaf130ccf58e69,d8d5b4948ecc3d37ebeb2c19d88f6d2b9fec39a61e2d9f222bea3a4692a7d19e,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[14.525674313189867, 0.0, 0.0, 0.0, 12.434002642245584, 0.0, 0.0, 0.0, 12.755445051985088]",2303.789921294661,[],"{""cutoff=6.000_skin=0.000"": 1240, ""cutoff=6.000_skin=0.500"": 1712}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0002,AXOSOW_C2_61_348_z1_8,05f7a97acbb88bd829caeaa9155e6440b0fafe159a6f3ef305d619d3a0bb72db,2,cross_family_test_set,AXOSOW/structures/AXOSOW_C2_61_348_z1_8.cif,79b9d03c3a99607473482face5f565bb627c90ad563b8d4b1d1e5c2d848d5690,05f7a97acbb88bd829caeaa9155e6440b0fafe159a6f3ef305d619d3a0bb72db,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[13.014122996314086, 0.0, 0.0, 0.0, 12.954416541084512, 0.0, 0.0, 0.0, 12.729528721195159]",2146.075959719879,[],"{""cutoff=6.000_skin=0.000"": 1304, ""cutoff=6.000_skin=0.500"": 1736}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0003,AXOSOW_C2_61_798_z1_8,ad17a661e48e15888030500a222abdf28937115af403f987118f15a133f8eb5a,3,cross_family_test_set,AXOSOW/structures/AXOSOW_C2_61_798_z1_8.cif,7b296d64bddbabfa9d4cd82f808240ce735e2a1fec07544af6630f82e106baa5,ad17a661e48e15888030500a222abdf28937115af403f987118f15a133f8eb5a,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[13.996198220114543, 0.0, 0.0, 0.0, 11.709646909959261, 0.0, 0.0, 0.0, 12.159307716161614]",1992.7954983788134,[],"{""cutoff=6.000_skin=0.000"": 1528, ""cutoff=6.000_skin=0.500"": 2024}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0004,AXOSOW_C2_61_1401_z1_8,c707236a705fac1e700d984b0b7257a59d247d7586a74c37013b6a54bb2c76aa,4,cross_family_test_set,AXOSOW/structures/AXOSOW_C2_61_1401_z1_8.cif,8fd84e5dcdaf2ec1f59e5a596d9963b453e2240e241f2e6c51cc3ebaf890ffd7,c707236a705fac1e700d984b0b7257a59d247d7586a74c37013b6a54bb2c76aa,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[12.817858869495367, 0.0, 0.0, 0.0, 11.248499242624732, 0.0, 0.0, 0.0, 12.545928643581021]",1808.8930161179392,[],"{""cutoff=6.000_skin=0.000"": 1616, ""cutoff=6.000_skin=0.500"": 2168}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0005,AXOSOW_C4_61_566_z1_8,57b1df29af7de6f9be1b168b8719506fe30d8c79d8d16ebd882582f16ba07e2e,5,cross_family_test_set,AXOSOW/structures/AXOSOW_C4_61_566_z1_8.cif,0cb5c3765c7d2fc34ddd92e09d74da7b4e231a6bf06066b346b9a842390db5f8,57b1df29af7de6f9be1b168b8719506fe30d8c79d8d16ebd882582f16ba07e2e,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[9.326797532051796, 0.0, 0.0, 0.0, 16.34805986087641, 0.0, 0.0, 0.0, 12.794927543438128]",1950.907144823184,[],"{""cutoff=6.000_skin=0.000"": 1664, ""cutoff=6.000_skin=0.500"": 2256}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0006,AXOSOW_C3_61_1938_z1_8,3445388fc40ef97843c42e42705e5c84dd9e822ddf60b7c2c99e520f75726ea5,6,cross_family_test_set,AXOSOW/structures/AXOSOW_C3_61_1938_z1_8.cif,255ff5528d6e634a6d4460483d040e310d755fb0902f0e431d41ba581c9a7b35,3445388fc40ef97843c42e42705e5c84dd9e822ddf60b7c2c99e520f75726ea5,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[6.538169581775641, 0.0, 0.0, 0.0, 17.492126250683228, 0.0, 0.0, 0.0, 15.686634682983538]",1794.0253136677577,[],"{""cutoff=6.000_skin=0.000"": 1688, ""cutoff=6.000_skin=0.500"": 2184}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0007,AXOSOW_C2_61_840_z1_8,f2061caa5f17af8c0bd46b25fc250110b168e4b37da68abdc537ca8303d856f2,7,cross_family_test_set,AXOSOW/structures/AXOSOW_C2_61_840_z1_8.cif,cf66a51d1bef3171da9bbcf757f80db3e596f7ddf8cb82e67ef57e4a55acc6ee,f2061caa5f17af8c0bd46b25fc250110b168e4b37da68abdc537ca8303d856f2,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[12.328695249178207, 0.0, 0.0, 0.0, 11.148829551197823, 0.0, 0.0, 0.0, 13.304610420621117]",1828.72564627993,[],"{""cutoff=6.000_skin=0.000"": 1720, ""cutoff=6.000_skin=0.500"": 2296}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0008,AXOSOW_C1_61_1655_z1_8,da75fdcf614159e1c5e368e43250dc77323a4e0bfa58890710fdb7c03a24ff03,8,cross_family_test_set,AXOSOW/structures/AXOSOW_C1_61_1655_z1_8.cif,3c778eeca6b4a1be3132215f81553df1973146c4ad318cd0954a19241b567889,da75fdcf614159e1c5e368e43250dc77323a4e0bfa58890710fdb7c03a24ff03,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[13.068750016629167, 0.0, 0.0, 0.0, 12.195852482784552, 0.0, 0.0, 0.0, 11.374787144905842]",1812.9653001477895,[],"{""cutoff=6.000_skin=0.000"": 1728, ""cutoff=6.000_skin=0.500"": 2384}",0.0,,
OPT-RF-U256-AXOSOW64-R256-v1,9bb29b5320749db7c0542ee893daeb75083ce9971511f4b1932766231b6fc0af,OPT-RF-U256-AXOSOW64-R256-v1:0009,AXOSOW_C3_61_887_z1_8,ff969146d023ef7d448cfc50a784fb0894815bec17249c9d1f4958259fa68b32,9,cross_family_test_set,AXOSOW/structures/AXOSOW_C3_61_887_z1_8.cif,73fe89237562587a395daba9d277b54e8b671ae6f2a30f738b979eb4f641b9ca,ff969146d023ef7d448cfc50a784fb0894815bec17249c9d1f4958259fa68b32,0,64,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]",C24H32O8,"[true, true, true]","[11.058130054943849, 0.0, 0.0, 0.0, 9.887692086708562, 0.0, 0.0, 0.0, 17.912137879720703]",1958.502140485645,[],"{""cutoff=6.000_skin=0.000"": 1768, ""cutoff=6.000_skin=0.500"": 2280}",0.0,,
