workload_id,manifest_sha256,system_id,group_id,duplicate_group,order,dataset_id,source_path,source_sha256,normalized_structure_sha256,frame_index,atom_count,species,chemical_formula,pbc,cell_A,volume_A3,constraints,topology_edge_counts,arrival_time,random_seed,reference
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0000,XATMOV_C2_14_3463_z2_22,41c762e922d4e536cfb9cb7654bfe6e0c3735432d313633f410c451c49115e4d,0,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_3463_z2_22.cif,74786061c59cc9353941a05921b1721aa3df987a36ae067ccc68c7eb7312a174,41c762e922d4e536cfb9cb7654bfe6e0c3735432d313633f410c451c49115e4d,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[16.063650514725744, 0.0, 0.0, 0.0, 16.051265887732136, 0.0, 8.70491078118518, 0.0, 12.816887284723311]",3304.730896915381,[],"{""cutoff=6.000_skin=0.000"": 1636, ""cutoff=6.000_skin=0.500"": 2036}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0001,XATMOV_C2_14_4120_z2_22,0dd51b921b48a2c1175f9784edf53e7f9dc38da7043fed80771b899a5e867298,1,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_4120_z2_22.cif,090b02438f3af5b26ee215b5045dfc161d78159d19fced9b51d9762be0fc0cf2,0dd51b921b48a2c1175f9784edf53e7f9dc38da7043fed80771b899a5e867298,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.240653246086872, 0.0, 0.0, 0.0, 15.135561894985123, 0.0, -0.9002236155738481, 0.0, 15.255482464418893]",3288.1710935885776,[],"{""cutoff=6.000_skin=0.000"": 1764, ""cutoff=6.000_skin=0.500"": 2224}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0002,XATMOV_C2_14_5507_z2_22,9239683f8d4cd5e3e5bf6a4e8377c7a307233e20a88a6b3344fa778384d17b57,2,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_5507_z2_22.cif,105a5a780eb6b19a6b3b7b5742aa8251bbbe3709c01db864d086c0a294132af2,9239683f8d4cd5e3e5bf6a4e8377c7a307233e20a88a6b3344fa778384d17b57,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[16.436700697956027, 0.0, 0.0, 0.0, 14.427132691645724, 0.0, -2.5646050943003282, 0.0, 16.77492473792463]",3977.912752520952,[],"{""cutoff=6.000_skin=0.000"": 1852, ""cutoff=6.000_skin=0.500"": 2236}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0003,XATMOV_C1_14_5544_z2_22,1fe3344b8723d585fd97f38bcdaad5d8e9dfa88b15fb8a638931863246a91d44,3,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_5544_z2_22.cif,82d160a90fd8c78295c54eb31d9083cd2326d14514367dfe2295866219455cc0,1fe3344b8723d585fd97f38bcdaad5d8e9dfa88b15fb8a638931863246a91d44,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[15.550445840011875, 0.0, 0.0, 0.0, 16.08425634577732, 0.0, 5.154534446062407, 0.0, 15.710242408089986]",3929.404311798125,[],"{""cutoff=6.000_skin=0.000"": 1904, ""cutoff=6.000_skin=0.500"": 2164}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0004,XATMOV_C2_14_818_z2_22,7f5800ed809f257c8c2881ccf5eb52a1cebc0854e27a37f71aaf80619a864ea8,4,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_818_z2_22.cif,863ef34bffc72b796022218e4d018e6ae43797558e3110b35eee49d68e1eca73,7f5800ed809f257c8c2881ccf5eb52a1cebc0854e27a37f71aaf80619a864ea8,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.572734079468418, 0.0, 0.0, 0.0, 15.481297054876912, 0.0, 9.467894714813495, 0.0, 13.423846498384139]",3028.4845425913663,[],"{""cutoff=6.000_skin=0.000"": 2112, ""cutoff=6.000_skin=0.500"": 2632}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0005,XATMOV_C1_14_6879_z2_22,fdf4bbad85c6e36bf752fa610b8b7be540c4ce7787734a625f422e0310f87339,5,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_6879_z2_22.cif,4848dbba1c8367a20b80aec4c5fbed2a020164414fbea004c726c0cb55809f7c,fdf4bbad85c6e36bf752fa610b8b7be540c4ce7787734a625f422e0310f87339,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.384863300194567, 0.0, 0.0, 0.0, 13.143566822760057, 0.0, 3.4923745877068577, 0.0, 12.722963238876655]",2405.5104557934737,[],"{""cutoff=6.000_skin=0.000"": 2144, ""cutoff=6.000_skin=0.500"": 3072}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0006,XATMOV_C1_14_706_z2_22,012d11c3dc6033301c03ad6fe5e7377e94f490c314b91136d5ebb019298e7e2a,6,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_706_z2_22.cif,93294093baa09bcc67886344d35e473dc2f609afa9135025c81e2f4a31f7434e,012d11c3dc6033301c03ad6fe5e7377e94f490c314b91136d5ebb019298e7e2a,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[16.115228424389997, 0.0, 0.0, 0.0, 11.283961277708912, 0.0, -4.64541349370914, 0.0, 16.49054236696696]",2998.699812951041,[],"{""cutoff=6.000_skin=0.000"": 2160, ""cutoff=6.000_skin=0.500"": 2488}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0007,XATMOV_C1_14_6261_z2_22,61e5ee60bbaa93215638fbb3b80fbd70aaf4d5e8b26992a7381562269a4fd392,7,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_6261_z2_22.cif,e0cc27e01cd938dd8213282da43a44c3a645abd6cc649aab8a3112e8246b9059,61e5ee60bbaa93215638fbb3b80fbd70aaf4d5e8b26992a7381562269a4fd392,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.93933534454937, 0.0, 0.0, 0.0, 14.251454583510906, 0.0, 7.436731793976939, 0.0, 12.57726615231814]",2677.7912643502746,[],"{""cutoff=6.000_skin=0.000"": 2172, ""cutoff=6.000_skin=0.500"": 2840}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0008,XATMOV_C2_14_5061_z2_22,94d558f677e0316fc45cb9c5ccc585fe5e93e72ac25cd049b2b6c09c2a1da37d,8,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_5061_z2_22.cif,9b859f98efd20e91e316ccb06c4335970f3d1ad769041eea4c0918d420a57abd,94d558f677e0316fc45cb9c5ccc585fe5e93e72ac25cd049b2b6c09c2a1da37d,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.211137162069512, 0.0, 0.0, 0.0, 15.912793963694, 0.0, 8.85666157731083, 0.0, 13.183411120126111]",2981.282057969528,[],"{""cutoff=6.000_skin=0.000"": 2196, ""cutoff=6.000_skin=0.500"": 2592}",0.0,,
OPT-RF-U256-XATMOV88-R256-v1,f76be7fea227482e0d2e5078d97994299bbc9dfbe0681fde37169ce8641b13b1,OPT-RF-U256-XATMOV88-R256-v1:0009,XATMOV_C1_14_6592_z2_22,c50174fe3906801471d20c8b7339f2422f3a9348bc8b366169f20b172c5ba9b9,9,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_6592_z2_22.cif,55ce6203bf28e0ec4dc5e146bbcb75fed7136ab2138dc34a99762100683f22e1,c50174fe3906801471d20c8b7339f2422f3a9348bc8b366169f20b172c5ba9b9,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[12.471965833313579, 0.0, 0.0, 0.0, 14.750932362197581, 0.0, -3.365755721929964, 0.0, 17.338732381915687]",3189.8607699713452,[],"{""cutoff=6.000_skin=0.000"": 2208, ""cutoff=6.000_skin=0.500"": 2804}",0.0,,
