workload_id,manifest_sha256,system_id,group_id,duplicate_group,order,dataset_id,source_path,source_sha256,normalized_structure_sha256,frame_index,atom_count,species,chemical_formula,pbc,cell_A,volume_A3,constraints,topology_edge_counts,arrival_time,random_seed,reference
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0000,SOXLEX_C1_14_279_z1_12,8449b57ede6eb92138d3bc0ded2828f21ec85e24704a909b6f706045b52a4e65,0,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_279_z1_12.cif,2af094e786c69b343e6e5246d75db346f3f9eaa30c44f1ffa32a24524da43e78,8449b57ede6eb92138d3bc0ded2828f21ec85e24704a909b6f706045b52a4e65,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[14.280917356777678, 0.0, 0.0, 0.0, 13.615720284932625, 0.0, 5.713382539062548, 0.0, 14.619441342171763]",2842.6769229897764,[],"{""cutoff=6.000_skin=0.000"": 592, ""cutoff=6.000_skin=0.500"": 696}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0001,SOXLEX_C1_14_866_z1_12,6cc3b01abdd17c7d65a1ca4c0fb39a9fcb9759fe56530e3a0547b44814d3de8d,1,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_866_z1_12.cif,b9a0095bab204ff790f3559395bb04f9386bd11f2b7b61122bf0455c85cffb4b,6cc3b01abdd17c7d65a1ca4c0fb39a9fcb9759fe56530e3a0547b44814d3de8d,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[16.687119705679535, 0.0, 0.0, 0.0, 8.630046297202636, 0.0, 0.4493935227254303, 0.0, 17.590127850875923]",2533.165140761874,[],"{""cutoff=6.000_skin=0.000"": 644, ""cutoff=6.000_skin=0.500"": 740}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0002,SOXLEX_C1_14_3342_z1_12,7ce90d9b5f7d80d3c679bd74d630cda291c41427d727d3d16e03d4d095f63ccc,2,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_3342_z1_12.cif,4d190bb451f6364b0a5ea347a292d5fc0b9df91b2576bae4116c56be294083f8,7ce90d9b5f7d80d3c679bd74d630cda291c41427d727d3d16e03d4d095f63ccc,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[14.01841177264085, 0.0, 0.0, 0.0, 14.666975777687469, 0.0, -2.7238603044571237, 0.0, 14.06134994712037]",2891.1219046387887,[],"{""cutoff=6.000_skin=0.000"": 660, ""cutoff=6.000_skin=0.500"": 800}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0003,SOXLEX_C1_14_2199_z1_12,a8aff3a7efa9dc1cde1f4ffe036f3cf740f2d4aa6ecb1cd2791fa6b447a941ea,3,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_2199_z1_12.cif,8c50367e91612ab2427efa70b3c8aa572af2769bc6508fa05593685c41871d7d,a8aff3a7efa9dc1cde1f4ffe036f3cf740f2d4aa6ecb1cd2791fa6b447a941ea,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[15.650345892974528, 0.0, 0.0, 0.0, 11.582743814235963, 0.0, -5.32652799359933, 0.0, 15.136920717760852]",2743.9293651834373,[],"{""cutoff=6.000_skin=0.000"": 696, ""cutoff=6.000_skin=0.500"": 832}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0004,SOXLEX_C1_14_551_z1_12,6e2b9eaceeb05e11865403c5f64b695338cda39e547dfb13a5ca85a74c3c3921,4,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_551_z1_12.cif,2d11b998d756cb2963d86a1759653a4da6abf07d85f1604892d0d7b59553a5ab,6e2b9eaceeb05e11865403c5f64b695338cda39e547dfb13a5ca85a74c3c3921,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[14.05098566221254, 0.0, 0.0, 0.0, 14.199008132832411, 0.0, -4.551296161437487, 0.0, 13.203570069964506]",2634.245052807011,[],"{""cutoff=6.000_skin=0.000"": 732, ""cutoff=6.000_skin=0.500"": 876}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0005,SOXLEX_C1_14_3603_z1_12,67902ca72216aa225b4efaf0bde78ba44fa504e091f166725ab7f5edfa3a31f7,5,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_3603_z1_12.cif,629c28d75563beaf9f8060e057f6754b86129cee4c0cdcffc5864322d659ecd9,67902ca72216aa225b4efaf0bde78ba44fa504e091f166725ab7f5edfa3a31f7,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[11.070649102954262, 0.0, 0.0, 0.0, 14.239760810991882, 0.0, 3.015436145678795, 0.0, 14.360018926093455]",2263.762139341954,[],"{""cutoff=6.000_skin=0.000"": 736, ""cutoff=6.000_skin=0.500"": 912}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0006,SOXLEX_C1_14_3646_z1_12,0e90861367ae63c911a45733fa3c3229ea9a60cac80fabcd9a7bc99ec6c1acb5,6,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_3646_z1_12.cif,910c0eec1b05047377738feac45a7cb1c04eb9127b15b5658e4dcb3976f6e01a,0e90861367ae63c911a45733fa3c3229ea9a60cac80fabcd9a7bc99ec6c1acb5,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[13.433858552515758, 0.0, 0.0, 0.0, 12.531453802397984, 0.0, -5.601643063095716, 0.0, 13.301532839395918]",2239.2568922964515,[],"{""cutoff=6.000_skin=0.000"": 748, ""cutoff=6.000_skin=0.500"": 904}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0007,SOXLEX_C1_14_4349_z1_12,3ca3ce335fab4726b5f4aa029d05674f05881958ae101154bd5aac9f4e6571ae,7,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_4349_z1_12.cif,3a202a64bc39b4fe71885cf8fc162a0f3520cfff6453a7c8c481632b7b7fecbd,3ca3ce335fab4726b5f4aa029d05674f05881958ae101154bd5aac9f4e6571ae,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[14.718983141624854, 0.0, 0.0, 0.0, 10.085922759060495, 0.0, -1.4262927841190536, 0.0, 13.821437342546737]",2051.8549439542826,[],"{""cutoff=6.000_skin=0.000"": 752, ""cutoff=6.000_skin=0.500"": 868}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0008,SOXLEX_C1_14_4817_z1_12,80996298582be266fccc6ffc55ef36c05ec7345ccdea35f55d406c293acdae8b,8,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_4817_z1_12.cif,f69320fe2b6cffec954d30e4eaa7685300d22a446419556aaaa31e6dfba3623b,80996298582be266fccc6ffc55ef36c05ec7345ccdea35f55d406c293acdae8b,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[9.535256601356517, 0.0, 0.0, 0.0, 14.937337743160022, 0.0, 2.713508042672306, 0.0, 14.93845601349155]",2127.704431852856,[],"{""cutoff=6.000_skin=0.000"": 760, ""cutoff=6.000_skin=0.500"": 928}",0.0,,
OPT-RFT-SOXLEX48-R1024-v1,99496ad462610f07ba32fc95c6ce2e92160559c01d43981add8e918ff73a0997,OPT-RFT-SOXLEX48-R1024-v1:0009,SOXLEX_C1_14_1416_z1_12,cd99ac920b1d36c19ea261e8ae1d5e887f85876d0f9d4c327b7ae17430236b14,9,cross_family_test_set,SOXLEX/structures/SOXLEX_C1_14_1416_z1_12.cif,180ca55f4a1ef4509fff0790e439afc116c4eb398601003ec8d7d528024fb6a6,cd99ac920b1d36c19ea261e8ae1d5e887f85876d0f9d4c327b7ae17430236b14,0,48,"[""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H"", ""F"", ""C"", ""C"", ""C"", ""Br"", ""C"", ""Cl"", ""C"", ""Br"", ""C"", ""H"", ""H""]",C24H8Br8Cl4F4,"[true, true, true]","[11.938571046583174, 0.0, 0.0, 0.0, 14.39881059446607, 0.0, -2.5182950021479997, 0.0, 14.797956439890122]",2543.7868138885415,[],"{""cutoff=6.000_skin=0.000"": 772, ""cutoff=6.000_skin=0.500"": 912}",0.0,,
